community,domain,kingdom,phylum,class,order,family,genus,species,BB_1,BB_2,BB_3,BD_1,BD_2,BD_3,BN_1,BN_2,BN_3,CS_1,CS_2,CS_3,CT_1,CT_2,CT_3,FD_1,FD_2,FD_3,FJ_1,FJ_2,FJ_3,FL_1,FL_2,FL_3,JTW_1,JTW_2,JTW_3,LH_1,LH_2,LH_3,WS_1,WS_2,WS_3,WZ_1,WZ_2,WZ_3,XZY_1,XZY_2,XZY_3,YJC_1,YJC_2,YJC_3,YW_1,YW_2,YW_3,YY_1,YY_2,YY_3,ZG_1,ZG_2,ZG_3,ZX_1,ZX_2,ZX_3
algae,d__Bacteria,k__norank_d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Cyanobacteriales,f__Nostocaceae,g__Cuspidothrix_LMECYA_163,g__Cuspidothrix_LMECYA_163,0,0,16,0,0,4,0,0,0,0,0,0,0,0,0,0,0,14,0,0,22,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,7,0,0,14,0,0,0,0,0,91,0,0,0,0,0,13
algae,d__Bacteria,k__norank_d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Cyanobacteriales,f__Nostocaceae,g__Cylindrospermopsis_CRJ1,g__Cylindrospermopsis_CRJ1,0,0,3,0,0,0,0,0,9,0,0,8,0,0,0,0,0,13,22,0,13,45,0,13,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,9,0,0,9,0,0,48,0,0,0,0,0,0
algae,d__Bacteria,k__norank_d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Cyanobacteriales,f__Nostocaceae,g__Desmonostoc_PCC-7422,g__Desmonostoc_PCC-7422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
algae,d__Bacteria,k__norank_d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Cyanobacteriales,f__Nostocaceae,g__Dolichospermum_NIES41,g__Dolichospermum_NIES41,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,10,0,0,46,0,0,11,0,0,0,0,0,0,0,0,15,0,0,4,12,0,40,0,0,97,0,0,0,10,0,76,0,0,0,0,0,6
algae,d__Bacteria,k__norank_d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Cyanobacteriales,f__Nostocaceae,g__Nodularia_PCC-9350,g__Nodularia_PCC-9350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
algae,d__Bacteria,k__norank_d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Cyanobacteriales,f__Nostocaceae,g__norank_f__Nostocaceae,g__norank_f__Nostocaceae,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
algae,d__Bacteria,k__norank_d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Cyanobacteriales,f__Nostocaceae,g__Sphaerospermopsis_BCCUSP55,g__Sphaerospermopsis_BCCUSP55,0,0,51,14,0,12,0,0,0,29,0,32,0,0,27,27,0,52,0,0,46,0,0,0,62,0,0,0,0,17,0,0,60,21,0,24,36,0,28,0,0,7,0,0,0,128,0,374,0,0,21,0,0,18
algae,d__Bacteria,k__norank_d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Cyanobacteriales,f__Nostocaceae,g__Synechococcus_PCC-7902,g__Synechococcus_PCC-7902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
algae,d__Bacteria,k__norank_d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Cyanobacteriales,f__Oscillatoriaceae,g__norank_f__Oscillatoriaceae,g__norank_f__Oscillatoriaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
algae,d__Bacteria,k__norank_d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Cyanobacteriales,f__Oscillatoriaceae,g__Phormidium_ETS-05,g__Phormidium_ETS-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
algae,d__Bacteria,k__norank_d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Cyanobacteriales,f__Oscillatoriaceae,g__Planktothricoides_SR001,g__Planktothricoides_SR001,0,0,334,26,0,0,0,0,0,0,0,55,10,0,6,28,0,0,0,0,8,13,0,18,13,0,0,0,0,34,5,0,18,15,0,6,127,0,3362,0,0,370,0,0,75,0,0,0,0,0,0,0,0,50
algae,d__Bacteria,k__norank_d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Cyanobacteriales,f__Phormidiaceae,g__Aerosakkonema_Lao26,g__Aerosakkonema_Lao26,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,6,0,0,0,0,0,58,0,0,0,0,0,2
algae,d__Bacteria,k__norank_d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Cyanobacteriales,f__Phormidiaceae,g__norank_f__Phormidiaceae,g__norank_f__Phormidiaceae,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,132,0,7,0,0,0,14,0,0,0,0,0,27,0,0,0,0,0
algae,d__Bacteria,k__norank_d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Cyanobacteriales,f__Phormidiaceae,g__Planktothrix_NIVA-CYA_15,g__Planktothrix_NIVA-CYA_15,46,0,44,8,0,247,0,22,15,30,28,81,0,0,16,80,0,125,82,0,90,146,138,31,0,0,0,21,0,21,33,0,90,0,21,37,68,0,144,21,0,101,0,0,35,50,0,417,7,0,99,23,17,45
algae,d__Bacteria,k__norank_d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Cyanobacteriales,f__Phormidiaceae,g__Tychonema_CCAP_1459-11B,g__Tychonema_CCAP_1459-11B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,214,13,0,56,0,0,0,0,0,31,0,0,0,0
algae,d__Bacteria,k__norank_d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Cyanobacteriales,f__Xenococcaceae,g__Pleurocapsa_PCC-7319,g__Pleurocapsa_PCC-7319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,24,0,0,0,0,0,0,0,0,0,0,0,0
algae,d__Bacteria,k__norank_d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Leptolyngbyales,f__Leptolyngbyaceae,g__Leptolyngbya_BN43,g__Leptolyngbya_BN43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
algae,d__Bacteria,k__norank_d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Leptolyngbyales,f__Leptolyngbyaceae,g__Leptolyngbya_PCC-6306,g__Leptolyngbya_PCC-6306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,28,0,0,0,0,0,0,0,0,0,0,0,0
algae,d__Bacteria,k__norank_d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Leptolyngbyales,f__Leptolyngbyaceae,g__norank_f__Leptolyngbyaceae,g__norank_f__Leptolyngbyaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
algae,d__Bacteria,k__norank_d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Limnotrichales,f__Limnotrichaceae,g__Limnothrix,g__Limnothrix,32,0,49,0,0,0,0,0,9,0,0,21,0,0,0,0,0,3,0,0,21,14,0,16,0,0,0,36,0,12,0,0,15,0,0,4,78,0,47,0,0,0,20,0,0,0,0,61,0,0,0,0,0,15
algae,d__Bacteria,k__norank_d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Oxyphotobacteria_Incertae_Sedis,f__unclassified_o__Oxyphotobacteria_Incertae_Sedis,g__CENA359,g__CENA359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
algae,d__Bacteria,k__norank_d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Oxyphotobacteria_Incertae_Sedis,f__unclassified_o__Oxyphotobacteria_Incertae_Sedis,g__Leptolyngbya_ANT.L52.2,g__Leptolyngbya_ANT.L52.2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
algae,d__Bacteria,k__norank_d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Oxyphotobacteria_Incertae_Sedis,f__unclassified_o__Oxyphotobacteria_Incertae_Sedis,g__Phormidium_CYN64,g__Phormidium_CYN64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
algae,d__Bacteria,k__norank_d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Phormidesmiales,f__Nodosilineaceae,g__Nodosilinea_PCC-7104,g__Nodosilinea_PCC-7104,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,12,0,0,5,7,0,0,0,0,0,0,0,0,0,0,13,0,0,3,0,0,32,0,0,7,0,0,16,0,0,63,0,0,0,0,0,0
algae,d__Bacteria,k__norank_d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Pseudanabaenales,f__Pseudanabaenaceae,g__Pseudanabaena_PCC-7429,g__Pseudanabaena_PCC-7429,0,8,13,0,0,2,0,0,0,0,0,14,0,0,0,0,0,9,0,0,17,16,0,0,0,0,0,0,0,9,0,0,18,19,0,13,330,0,32,14,0,7,12,27,7,36,0,92,18,0,0,23,0,26
algae,d__Bacteria,k__norank_d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Synechococcales,f__Cyanobiaceae,g__Cyanobium_PCC-6307,g__Cyanobium_PCC-6307,23,84,7744,695,1142,347,0,5819,6670,4238,6030,3956,3292,1342,1535,12116,546,5922,3107,574,1140,1604,3976,3471,3205,119,1659,963,800,1851,755,192,844,224,1384,1012,902,821,2877,575,1527,2146,1143,1348,839,1630,489,3902,6266,940,0,434,663,4632
algae,d__Bacteria,k__norank_d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Synechococcales,f__Prochlorotrichaceae,g__Prochlorothrix_PCC-9006,g__Prochlorothrix_PCC-9006,0,0,0,4,0,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,311,0,0,4,0,0,0,0,0,0,0,0,119,0,0,18,9,0,0,0,0,7,0,0,0,0,0,100,0,0,0,0,0,48
algae,d__Bacteria,k__norank_d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Synechococcales,f__Synechococcaceae,g__norank_f__Synechococcaceae,g__norank_f__Synechococcaceae,248,0,235,0,0,0,0,0,58,0,0,29,0,0,0,45,0,10,0,0,4,16,0,27,0,0,13,15,0,22,0,0,0,0,0,5,0,0,110,0,0,75,0,0,21,0,0,9,39,0,0,0,0,21
algae,d__Bacteria,k__norank_d__Bacteria,p__Cyanobacteria,c__Sericytochromatia,o__norank_c__Sericytochromatia,f__norank_c__Sericytochromatia,g__norank_c__Sericytochromatia,g__norank_c__Sericytochromatia,32,0,47,159,0,0,0,0,15,0,0,0,71,0,0,0,0,0,0,0,67,11,0,4,27,7,8,0,0,0,0,0,2,0,0,7,9,0,0,0,33,10,0,0,0,0,27,8,87,0,0,0,0,43
algae,d__Bacteria,k__norank_d__Bacteria,p__Cyanobacteria,c__Vampirivibrionia,o__Caenarcaniphilales,f__norank_o__Caenarcaniphilales,g__norank_o__Caenarcaniphilales,g__norank_o__Caenarcaniphilales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0
algae,d__Bacteria,k__norank_d__Bacteria,p__Cyanobacteria,c__Vampirivibrionia,o__Gastranaerophilales,f__norank_o__Gastranaerophilales,g__norank_o__Gastranaerophilales,g__norank_o__Gastranaerophilales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,32,19,0,0,0,0,0,0,0,0,0,0,0,0
algae,d__Bacteria,k__norank_d__Bacteria,p__Cyanobacteria,c__Vampirivibrionia,o__Obscuribacterales,f__Obscuribacteraceae,g__Candidatus_Obscuribacter,g__Candidatus_Obscuribacter,0,0,0,41,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,4,0,0,0,0,0,36,0,0,0,0,0,0,101,0,0,0,0,0
algae,d__Bacteria,k__norank_d__Bacteria,p__Cyanobacteria,c__Vampirivibrionia,o__Obscuribacterales,f__Obscuribacteraceae,g__norank_f__Obscuribacteraceae,g__norank_f__Obscuribacteraceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,15,0,0,10,0,0,0,0,0,0,0,0,0
algae,d__Bacteria,k__norank_d__Bacteria,p__Cyanobacteria,c__Vampirivibrionia,o__Vampirovibrionales,f__norank_o__Vampirovibrionales,g__norank_o__Vampirovibrionales,g__norank_o__Vampirovibrionales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
algae,d__Eukaryota,k__unclassified_d__Eukaryota,p__Bacillariophyta,c__Bacillariophyceae,o__Bacillariales,f__Bacillariaceae,g__Cylindrotheca,g__Cylindrotheca,204,0,31,55,0,0,0,0,2,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,1,0,38,7,0,52,0,0,0,1,1,0,1,10,0,1,9,0,0,31,0,1,1,0,0,2,0,0,0,0
algae,d__Eukaryota,k__unclassified_d__Eukaryota,p__Bacillariophyta,c__Bacillariophyceae,o__Bacillariales,f__Bacillariaceae,g__Fragilariopsis,g__Fragilariopsis,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,12,0,0,2,0,1,0,0,0,0,0,7,0,0,21,0,0,59,0,0,0,0,0,0,0,0,0,0
algae,d__Eukaryota,k__unclassified_d__Eukaryota,p__Bacillariophyta,c__Bacillariophyceae,o__Bacillariales,f__Bacillariaceae,g__Nitzschia,g__Nitzschia,2415,341,60,921,262,0,679,450,7,246,122,0,2456,826,0,881,1211,0,4,158,113,2343,301,68,1366,3674,22,3726,553,72,13,541,9,6,167,62,166,216,14,21,414,0,33,335,4,9,491,224,174,146,0,8,254,46
algae,d__Eukaryota,k__unclassified_d__Eukaryota,p__Bacillariophyta,c__Bacillariophyceae,o__Bacillariales,f__Bacillariaceae,g__Psammodictyon,g__Psammodictyon,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
algae,d__Eukaryota,k__unclassified_d__Eukaryota,p__Bacillariophyta,c__Bacillariophyceae,o__Bacillariales,f__Bacillariaceae,g__Pseudo-nitzschia,g__Pseudo-nitzschia,0,0,2,111,7,1,0,64,0,1,4,0,8,78,0,54,42,0,0,14,35,119,7,0,0,79,0,0,2,0,0,12,2,0,4,2,1,13,0,2,53,0,6,7,0,1,9,0,3,52,0,0,4,0
algae,d__Eukaryota,k__unclassified_d__Eukaryota,p__Bacillariophyta,c__Bacillariophyceae,o__Bacillariales,f__Bacillariaceae,g__Tryblionella,g__Tryblionella,15,0,0,5,3,0,0,1,0,0,0,0,0,10,0,1,10,0,0,13,0,3,0,0,2,58,0,0,0,0,3,2,0,0,13,0,0,2,0,0,2,0,0,29,0,0,90,0,0,10,0,0,14,0
algae,d__Eukaryota,k__unclassified_d__Eukaryota,p__Bacillariophyta,c__Bacillariophyceae,o__Cymbellales,f__Cymbellaceae,g__Cymbella,g__Cymbella,0,0,0,2,4,0,0,0,0,0,135,0,0,0,0,0,0,0,0,0,0,0,236,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,304,0
algae,d__Eukaryota,k__unclassified_d__Eukaryota,p__Bacillariophyta,c__Bacillariophyceae,o__Cymbellales,f__Cymbellaceae,g__Encyonema,g__Encyonema,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,9,0,0,23,0,0,0,0,0,0,0,0,0,0
algae,d__Eukaryota,k__unclassified_d__Eukaryota,p__Bacillariophyta,c__Bacillariophyceae,o__Cymbellales,f__Cymbellaceae,g__Paraplaconeis,g__Paraplaconeis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,1,3,0,4,3,0,1,0,0,18,0,0,0,0,0,0,0,0
